Blocks,Trials,answer,RT,Cue,cor_answer,stim_left,stim_right
9,9,4,2.1732060392669155,"(False, True)",4,['9' '9' '' '9' '9' '9' '9' '9' '9'],['6' '' '6' '6' '' '' '6' '' '6']
9,10,1,1.941345596955216,"(False, True)",1,['6' '' '6' '6' '' '' '6' '' '6'],['6' '6' '6' '6' '' '6' '6' '6' '6']
9,11,4,3.1996251505379405,"(False, False)",4,['6' '6' '6' '6' '' '6' '6' '6' '6'],['' '5' '' '5' '5' '' '5' '5' '5']
9,12,8,1.9810644713488728,"(True, False)",8,['' '5' '' '5' '5' '' '5' '5' '5'],['' '' '1' '1' '' '1' '' '' '']
10,1,1,1.42681625404839,"(True, False)",1,['8' '8' '8' '8' '8' '8' '8' '8' '8'],['3' '3' '' '' '' '' '' '3' '']
10,2,9,2.217644431573717,"(False, True)",9,['3' '3' '' '' '' '' '' '3' ''],['6' '6' '6' '' '6' '6' '6' '6' '6']
10,3,6,4.0222856547488846,"(False, False)",6,['6' '6' '6' '' '6' '6' '6' '6' '6'],['3' '' '3' '3' '3' '3' '3' '3' '3']
10,4,9,1.0574964529887438,"(True, True)",9,['3' '' '3' '3' '3' '3' '3' '3' '3'],['' '6' '6' '' '' '' '' '' '']
10,5,8,2.2721508223239653,"(True, False)",2,['' '6' '6' '' '' '' '' '' ''],['6' '' '6' '6' '6' '6' '' '' '6']
10,6,7,2.2201683260245773,"(True, True)",7,['6' '' '6' '6' '6' '6' '' '' '6'],['' '1' '1' '' '' '1' '' '' '']
10,7,2,1.8115789643024982,"(True, True)",2,['' '1' '1' '' '' '1' '' '' ''],['' '' '1' '' '' '' '' '' '']
10,8,5,0.9219906322105089,"(True, True)",5,['' '' '1' '' '' '' '' '' ''],['4' '' '4' '4' '4' '4' '4' '4' '4']
10,9,0,3.8688252878209823,"(False, True)",0,['4' '' '4' '4' '4' '4' '4' '4' '4'],['2' '2' '2' '2' '2' '2' '2' '2' '2']
10,10,0,1.0062187625444494,"(True, True)",0,['2' '2' '2' '2' '2' '2' '2' '2' '2'],['' '' '8' '8' '' '' '' '8' '']
10,11,1,2.213602523204827,"(False, False)",1,['' '' '8' '8' '' '' '' '8' ''],['6' '6' '6' '6' '6' '' '6' '6' '6']
10,12,7,0.9795801655372998,"(True, True)",7,['6' '6' '6' '6' '6' '' '6' '6' '6'],['1' '1' '' '1' '1' '1' '' '' '1']
10,13,4,2.532514149744202,"(False, False)",4,['1' '1' '' '1' '1' '1' '' '' '1'],['3' '3' '' '3' '3' '3' '3' '3' '3']
