Blocks,Trials,answer,RT,Cue,cor_answer,stim_left,stim_right
8,3,0,0.9752563348256444,"(True, True)",0,['4' '' '4' '' '4' '' '4' '4' '4'],['' '' '' '' '6' '' '' '6' '']
8,4,0,1.2981014675283404,"(False, False)",0,['' '' '' '' '6' '' '' '6' ''],['9' '9' '9' '' '9' '9' '9' '9' '9']
8,5,1,2.565154704885572,"(False, True)",1,['9' '9' '9' '' '9' '9' '9' '9' '9'],['' '3' '3' '3' '3' '3' '3' '3' '3']
8,6,9,3.2759851194036855,"(False, True)",9,['' '3' '3' '3' '3' '3' '3' '3' '3'],['1' '1' '1' '1' '1' '1' '1' '1' '1']
8,7,9,2.5907678859807675,"(True, False)",9,['1' '1' '1' '1' '1' '1' '1' '1' '1'],['1' '1' '1' '1' '' '1' '1' '1' '1']
8,8,9,3.5903721987797326,"(True, False)",9,['1' '1' '1' '1' '' '1' '1' '1' '1'],['4' '4' '4' '4' '' '4' '4' '4' '4']
8,9,6,2.2200392392996946,"(False, True)",6,['4' '4' '4' '4' '' '4' '4' '4' '4'],['8' '' '' '' '8' '' '' '' '8']
8,10,1,7.706057653118933,"(False, True)",1,['8' '' '' '' '8' '' '' '' '8'],['8' '' '8' '' '' '' '8' '8' '']
8,11,9,1.9023445520037967,"(False, True)",9,['8' '' '8' '' '' '' '8' '8' ''],['5' '5' '5' '5' '5' '' '' '5' '5']
8,12,7,1.064554470767689,"(True, True)",7,['5' '5' '5' '5' '5' '' '' '5' '5'],['' '' '' '' '' '' '' '2' '']
8,13,6,0.9835692134670353,"(True, True)",6,['' '' '' '' '' '' '' '2' ''],['4' '4' '4' '4' '4' '4' '4' '4' '']
9,1,7,2.281520526704753,"(True, False)",7,['4' '4' '4' '4' '' '' '4' '4' '4'],['3' '3' '' '' '' '' '' '3' '']
9,2,6,1.70150820792378,"(False, False)",6,['3' '3' '' '' '' '' '' '3' ''],['' '4' '' '' '' '4' '' '4' '']
9,3,3,3.024798823893434,"(True, True)",3,['' '4' '' '' '' '4' '' '4' ''],['9' '' '' '9' '' '' '' '' '']
9,4,5,0.7890477766441109,"(True, True)",5,['9' '' '' '9' '' '' '' '' ''],['6' '6' '6' '' '' '6' '6' '' '6']
9,5,2,4.823363394835269,"(False, True)",2,['6' '6' '6' '' '' '6' '6' '' '6'],['6' '6' '6' '6' '6' '6' '6' '' '']
9,6,2,5.171051784844167,"(True, False)",2,['6' '6' '6' '6' '6' '6' '6' '' ''],['1' '' '' '1' '1' '1' '1' '1' '']
9,7,8,2.382162589517975,"(True, True)",8,['1' '' '' '1' '1' '1' '1' '1' ''],['7' '7' '7' '7' '7' '7' '7' '7' '7']
9,8,2,1.9007219663471915,"(False, False)",2,['7' '7' '7' '7' '7' '7' '7' '7' '7'],['' '9' '' '' '9' '9' '' '' '']
9,9,7,2.5677747440481653,"(False, False)",7,['' '9' '' '' '9' '9' '' '' ''],['' '' '9' '9' '' '9' '9' '' '']
9,10,8,3.382797680882504,"(False, True)",8,['' '' '9' '9' '' '9' '9' '' ''],['' '4' '4' '' '' '4' '4' '4' '4']
9,11,9,1.3166256040649387,"(True, True)",9,['' '4' '4' '' '' '4' '4' '4' '4'],['5' '5' '5' '5' '5' '5' '5' '5' '5']
9,12,2,2.158757902252546,"(False, False)",2,['5' '5' '5' '5' '5' '5' '5' '5' '5'],['6' '' '' '' '6' '' '' '6' '']
10,1,3,4.504402355277307,"(True, False)",3,['5' '' '5' '5' '5' '' '5' '5' ''],['7' '7' '7' '7' '7' '7' '' '7' '7']
10,2,0,3.3050840251153204,"(True, False)",0,['7' '7' '7' '7' '7' '7' '' '7' '7'],['' '' '' '' '8' '8' '8' '' '']
10,3,9,2.594458923608272,"(True, False)",9,['' '' '' '' '8' '8' '8' '' ''],['' '' '' '' '' '4' '' '' '']
10,4,0,2.8813593406694054,"(False, True)",0,['' '' '' '' '' '4' '' '' ''],['9' '9' '9' '9' '9' '' '9' '9' '9']
10,5,4,1.2521538713758673,"(True, True)",4,['9' '9' '9' '9' '9' '' '9' '9' '9'],['5' '' '' '' '5' '5' '5' '5' '']
10,6,3,2.000951870953031,"(True, False)",3,['5' '' '' '' '5' '5' '5' '5' ''],['' '8' '8' '8' '8' '8' '8' '8' '8']
10,7,4,3.1033164946020406,"(False, True)",4,['' '8' '8' '8' '8' '8' '8' '8' '8'],['6' '6' '6' '6' '' '6' '' '6' '6']
10,8,8,3.033455295390013,"(True, False)",8,['6' '6' '6' '6' '' '6' '' '6' '6'],['' '' '5' '' '' '5' '' '' '']
10,9,8,1.3572097808664694,"(False, True)",8,['' '' '5' '' '' '5' '' '' ''],['6' '6' '6' '6' '6' '6' '6' '6' '6']
10,10,5,1.7742020371952094,"(False, False)",5,['6' '6' '6' '6' '6' '6' '6' '6' '6'],['2' '2' '' '2' '2' '2' '' '' '2']
10,11,8,2.21466739292282,"(True, False)",8,['2' '2' '' '2' '2' '2' '' '' '2'],['' '2' '2' '2' '2' '2' '' '' '2']
10,12,4,0.8213554642370582,"(True, True)",4,['' '2' '2' '2' '2' '2' '' '' '2'],['' '' '' '' '' '2' '2' '2' '2']
